year, month, carrier, carrier_name                           , airport, airport_name                                                            , arr_flights, arr_del15, carrier_ct, weather_ct, nas_ct , security_ct, late_aircraft_ct, arr_cancelled, arr_diverted, arr_delay, carrier_delay, weather_delay, nas_delay, security_delay, late_aircraft_delay
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, RIC    , "Richmond, VA: Richmond International"                                  ,       206.0,      62.0,      18.01,       0.0 ,   12.46,        0.0 ,            31.54,          11.0,          0.0,    7612.0,        2452.0,           0.0,     516.0,            0.0,              4644.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, ROA    , "Roanoke, VA: Roanoke Blacksburg Regional"                              ,        16.0,       5.0,       0.77,       0.0 ,    1.58,        0.0 ,             2.65,           0.0,          0.0,     546.0,          72.0,           0.0,      41.0,            0.0,               433.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, ROC    , "Rochester, NY: Frederick Douglass Grtr Rochester International"        ,        67.0,      14.0,       2.5 ,       0.41,    2.05,        0.0 ,             9.04,           0.0,          0.0,    2378.0,         388.0,         318.0,      56.0,            0.0,              1616.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, SCE    , "State College, PA: University Park"                                    ,        89.0,      10.0,       3.01,       0.78,    0.41,        0.0 ,             5.8 ,           1.0,          0.0,    1230.0,         472.0,          21.0,     110.0,            0.0,               627.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, SGF    , "Springfield, MO: Springfield-Branson National"                         ,        60.0,      10.0,       4.6 ,       0.0 ,    2.34,        0.0 ,             3.06,           2.0,          1.0,     579.0,         247.0,           0.0,      69.0,            0.0,               263.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, STL    , "St. Louis, MO: St Louis Lambert International"                         ,       181.0,      47.0,      19.73,       1.05,    9.5 ,        0.0 ,            16.71,           1.0,          1.0,    5564.0,        1554.0,         149.0,     286.0,            0.0,              3575.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, SYR    , "Syracuse, NY: Syracuse Hancock International"                          ,       120.0,      26.0,       4.41,       0.0 ,    3.31,        0.0 ,            18.28,           2.0,          0.0,    2798.0,         235.0,           0.0,     218.0,            0.0,              2345.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, TUL    , "Tulsa, OK: Tulsa International"                                        ,        30.0,       7.0,       2.48,       0.0 ,    0.0 ,        0.0 ,             4.52,           1.0,          0.0,     396.0,         118.0,           0.0,       0.0,            0.0,               278.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, TVC    , "Traverse City, MI: Cherry Capital"                                     ,        60.0,       7.0,       2.95,       0.0 ,    0.0 ,        0.0 ,             4.05,           0.0,          0.0,    1059.0,         576.0,           0.0,       0.0,            0.0,               483.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, TYS    , "Knoxville, TN: McGhee Tyson"                                           ,        34.0,       4.0,       1.2 ,       0.02,    0.47,        0.0 ,             2.32,           0.0,          0.0,     715.0,          37.0,          10.0,     120.0,            0.0,               548.0
2025,     4, G7     , GoJet Airlines LLC d/b/a United Express, XNA    , "Fayetteville, AR: Northwest Arkansas National"                         ,        60.0,       7.0,       0.16,       0.0 ,    1.15,        0.0 ,             5.7 ,           2.0,          0.0,     429.0,           7.0,           0.0,      49.0,            0.0,               373.0
2025,     4, HA     , Hawaiian Airlines Network              , BOS    , "Boston, MA: Logan International"                                       ,        17.0,       4.0,       4.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          1.0,     128.0,         128.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, HA     , Hawaiian Airlines Network              , HNL    , "Honolulu, HI: Daniel K Inouye International"                           ,      2621.0,     446.0,     207.37,      18.41,   21.34,        1.22,           197.66,          32.0,          0.0,   19428.0,        9679.0,         522.0,     511.0,           24.0,              8692.0
2025,     4, HA     , Hawaiian Airlines Network              , ITO    , "Hilo, HI: Hilo International"                                          ,       419.0,      42.0,      25.19,       0.67,    0.14,        0.0 ,            16.0 ,           7.0,          0.0,    1407.0,         828.0,          18.0,       8.0,            0.0,               553.0
2025,     4, HA     , Hawaiian Airlines Network              , JFK    , "New York, NY: John F. Kennedy International"                           ,        30.0,      17.0,      14.09,       0.0 ,    0.81,        1.19,             0.9 ,           0.0,          0.0,     616.0,         425.0,           0.0,      56.0,           24.0,               111.0
2025,     4, HA     , Hawaiian Airlines Network              , KOA    , "Kona, HI: Ellison Onizuka Kona International at Keahole"               ,       626.0,      82.0,      37.96,       4.02,    0.89,        0.0 ,            39.13,           8.0,          0.0,    3075.0,        1314.0,         110.0,     233.0,            0.0,              1418.0
2025,     4, HA     , Hawaiian Airlines Network              , LAS    , "Las Vegas, NV: Harry Reid International"                               ,       120.0,      27.0,      23.83,       0.0 ,    1.0 ,        0.0 ,             2.17,           0.0,          0.0,    1209.0,         834.0,           0.0,     311.0,            0.0,                64.0
2025,     4, HA     , Hawaiian Airlines Network              , LAX    , "Los Angeles, CA: Los Angeles International"                            ,       200.0,      64.0,      55.11,       0.0 ,    1.0 ,        0.39,             7.5 ,           0.0,          1.0,    2420.0,        2057.0,           0.0,      23.0,           15.0,               325.0
2025,     4, HA     , Hawaiian Airlines Network              , LGB    , "Long Beach, CA: Long Beach Airport"                                    ,        60.0,      12.0,      11.91,       0.0 ,    0.0 ,        0.0 ,             0.09,           0.0,          0.0,     348.0,         343.0,           0.0,       0.0,            0.0,                 5.0
2025,     4, HA     , Hawaiian Airlines Network              , LIH    , "Lihue, HI: Lihue Airport"                                              ,       698.0,      86.0,      49.53,       0.95,    0.0 ,        0.0 ,            35.52,           8.0,          0.0,    3010.0,        1762.0,          20.0,       0.0,            0.0,              1228.0
2025,     4, HA     , Hawaiian Airlines Network              , OAK    , "Oakland, CA: Metro Oakland International"                              ,        90.0,      37.0,      30.57,       0.62,    0.26,        0.25,             5.3 ,           0.0,          0.0,    1672.0,         983.0,          81.0,       5.0,           11.0,               592.0
2025,     4, HA     , Hawaiian Airlines Network              , OGG    , "Kahului, HI: Kahului Airport"                                          ,      1106.0,     127.0,      79.72,       8.37,    1.86,        0.0 ,            37.05,           6.0,          0.0,    5460.0,        3764.0,         311.0,      43.0,            0.0,              1342.0
2025,     4, HA     , Hawaiian Airlines Network              , ONT    , "Ontario, CA: Ontario International"                                    ,        30.0,      17.0,      14.49,       0.0 ,    0.88,        0.0 ,             1.63,           0.0,          0.0,     561.0,         426.0,           0.0,      14.0,            0.0,               121.0
2025,     4, HA     , Hawaiian Airlines Network              , PDX    , "Portland, OR: Portland International"                                  ,        60.0,      23.0,      17.31,       0.16,    1.07,        0.53,             3.93,           0.0,          1.0,     934.0,         564.0,          11.0,      99.0,            8.0,               252.0
2025,     4, HA     , Hawaiian Airlines Network              , PHX    , "Phoenix, AZ: Phoenix Sky Harbor International"                         ,        30.0,       7.0,       5.7 ,       0.0 ,    0.0 ,        0.0 ,             1.3 ,           0.0,          0.0,     584.0,         525.0,           0.0,       0.0,            0.0,                59.0
2025,     4, HA     , Hawaiian Airlines Network              , PPG    , "Pago Pago, TT: Pago Pago International"                                ,        13.0,       5.0,       5.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,     131.0,         131.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, HA     , Hawaiian Airlines Network              , SAN    , "San Diego, CA: San Diego International"                                ,        60.0,      22.0,      18.69,       2.3 ,    0.28,        0.0 ,             0.73,           0.0,          0.0,    1087.0,         953.0,          89.0,       9.0,            0.0,                36.0
2025,     4, HA     , Hawaiian Airlines Network              , SEA    , "Seattle, WA: Seattle/Tacoma International"                             ,       109.0,      44.0,      41.12,       0.07,    0.0 ,        1.0 ,             1.82,           0.0,          0.0,    1531.0,        1462.0,           2.0,       0.0,           28.0,                39.0
2025,     4, HA     , Hawaiian Airlines Network              , SFO    , "San Francisco, CA: San Francisco International"                        ,        90.0,      33.0,      20.38,       0.0 ,    0.0 ,        0.19,            12.43,           0.0,          0.0,    1323.0,         712.0,           0.0,       0.0,            4.0,               607.0
2025,     4, HA     , Hawaiian Airlines Network              , SJC    , "San Jose, CA: Norman Y. Mineta San Jose International"                 ,        60.0,      18.0,      15.32,       0.0 ,    0.0 ,        0.0 ,             2.68,           0.0,          0.0,     735.0,         610.0,           0.0,       0.0,            0.0,               125.0
2025,     4, HA     , Hawaiian Airlines Network              , SLC    , "Salt Lake City, UT: Salt Lake City International"                      ,        30.0,       7.0,       7.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,     297.0,         297.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, HA     , Hawaiian Airlines Network              , SMF    , "Sacramento, CA: Sacramento International"                              ,        90.0,      35.0,      29.73,       0.0 ,    0.0 ,        1.0 ,             4.27,           0.0,          0.0,    1148.0,        1029.0,           0.0,       0.0,           15.0,               104.0
2025,     4, MQ     , Envoy Air                              , ABI    , "Abilene, TX: Abilene Regional"                                         ,       142.0,      39.0,       9.53,       4.87,    8.24,        0.16,            16.2 ,           4.0,          0.0,    2004.0,         418.0,         451.0,     304.0,           12.0,               819.0
2025,     4, MQ     , Envoy Air                              , ABQ    , "Albuquerque, NM: Albuquerque International Sunport"                    ,        60.0,      14.0,       1.85,       0.91,    7.02,        0.0 ,             4.21,           2.0,          0.0,     622.0,          87.0,          73.0,     243.0,            0.0,               219.0
2025,     4, MQ     , Envoy Air                              , AGS    , "Augusta, GA: Augusta Regional at Bush Field"                           ,        47.0,      16.0,       0.4 ,       0.88,   12.15,        0.0 ,             2.57,           1.0,          0.0,     817.0,          12.0,          60.0,     573.0,            0.0,               172.0
2025,     4, MQ     , Envoy Air                              , AMA    , "Amarillo, TX: Rick Husband Amarillo International"                     ,       164.0,      40.0,      13.03,       2.16,   10.06,        0.0 ,            14.75,           8.0,          1.0,    1797.0,         556.0,          71.0,     329.0,            0.0,               841.0
2025,     4, MQ     , Envoy Air                              , ATL    , "Atlanta, GA: Hartsfield-Jackson Atlanta International"                 ,        16.0,       3.0,       2.53,       0.0 ,    0.47,        0.0 ,             0.0 ,           3.0,          0.0,     132.0,         120.0,           0.0,      12.0,            0.0,                 0.0
2025,     4, MQ     , Envoy Air                              , ATW    , "Appleton, WI: Appleton International"                                  ,       148.0,      23.0,       6.36,       2.38,    3.91,        0.0 ,            10.35,           0.0,          0.0,    1005.0,         225.0,          97.0,     162.0,            0.0,               521.0
2025,     4, MQ     , Envoy Air                              , AUS    , "Austin, TX: Austin - Bergstrom International"                          ,       118.0,      26.0,       2.99,       0.53,    8.61,        0.0 ,            13.87,          11.0,          0.0,    1162.0,         112.0,           9.0,     338.0,            0.0,               703.0
2025,     4, MQ     , Envoy Air                              , AVL    , "Asheville, NC: Asheville Regional"                                     ,       123.0,      22.0,       7.73,       0.38,    7.26,        0.0 ,             6.63,           1.0,          0.0,    1311.0,         349.0,          38.0,     562.0,            0.0,               362.0
2025,     4, MQ     , Envoy Air                              , AVP    , "Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"        ,         6.0,       4.0,       0.48,       0.0 ,    2.11,        0.0 ,             1.41,           0.0,          0.0,     229.0,          10.0,           0.0,     128.0,            0.0,                91.0
2025,     4, MQ     , Envoy Air                              , BDL    , "Hartford, CT: Bradley International"                                   ,        74.0,       9.0,       4.1 ,       0.0 ,    4.34,        0.0 ,             0.56,           0.0,          0.0,     292.0,         146.0,           0.0,     117.0,            0.0,                29.0
2025,     4, MQ     , Envoy Air                              , BHM    , "Birmingham, AL: Birmingham-Shuttlesworth International"                ,       166.0,      36.0,       8.8 ,       3.08,    9.16,        0.0 ,            14.97,           3.0,          0.0,    2811.0,         515.0,         623.0,     702.0,            0.0,               971.0
